combined_provisional_rank,company_id,krx_code,f02_score,f05_score,available_feature_weight,feature_coverage_ratio,available_axis_weight,provisional_combined_score,formula,limitation
1,KRX:025560,025560,87.5,61.60714285714285714285714285,30,0.3,45,75.99206349206349206349206349,(25*F02_SCORE+20*F05_SCORE)/45,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K
2,KRX:031980,031980,87.5,39.10714285714285714285714285,30,0.3,45,65.99206349206349206349206349,(25*F02_SCORE+20*F05_SCORE)/45,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K
3,KRX:005290,005290,50,65.71428571428571428571428571,30,0.3,45,56.98412698412698412698412698,(25*F02_SCORE+20*F05_SCORE)/45,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K
4,KRX:036200,036200,25,20.53571428571428571428571429,30,0.3,45,23.01587301587301587301587302,(25*F02_SCORE+20*F05_SCORE)/45,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K
5,KRX:003160,003160,0,41.07142857142857142857142857,30,0.3,45,18.25396825396825396825396825,(25*F02_SCORE+20*F05_SCORE)/45,F02_F05_PROVISIONAL_EXPLORATORY_NO_OFFICIAL_TOP_K
